codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_chikungunya
310630,Belo Oriente,2021,12,2021-12-01,0
310670,Betim,2021,1,2021-1-01,2
310670,Betim,2021,2,2021-2-01,0
310670,Betim,2021,3,2021-3-01,0
310670,Betim,2021,4,2021-4-01,0
310670,Betim,2021,5,2021-5-01,0
310670,Betim,2021,7,2021-7-01,0
310670,Betim,2021,10,2021-10-01,0
310670,Betim,2021,11,2021-11-01,0
310670,Betim,2021,12,2021-12-01,0
310740,Bom Despacho,2021,1,2021-1-01,0
310740,Bom Despacho,2021,2,2021-2-01,0
310740,Bom Despacho,2021,3,2021-3-01,3
310740,Bom Despacho,2021,4,2021-4-01,3
310740,Bom Despacho,2021,5,2021-5-01,0
310740,Bom Despacho,2021,7,2021-7-01,0
310740,Bom Despacho,2021,10,2021-10-01,0
310740,Bom Despacho,2021,11,2021-11-01,0
310740,Bom Despacho,2021,12,2021-12-01,0
310880,Braúnas,2021,1,2021-1-01,1
310880,Braúnas,2021,2,2021-2-01,0
310880,Braúnas,2021,3,2021-3-01,0
310880,Braúnas,2021,4,2021-4-01,0
310880,Braúnas,2021,5,2021-5-01,0
310880,Braúnas,2021,7,2021-7-01,0
310880,Braúnas,2021,10,2021-10-01,0
310880,Braúnas,2021,11,2021-11-01,0
310880,Braúnas,2021,12,2021-12-01,0
310930,Buritis,2021,1,2021-1-01,0
310930,Buritis,2021,2,2021-2-01,0
310930,Buritis,2021,3,2021-3-01,1
310930,Buritis,2021,4,2021-4-01,0
310930,Buritis,2021,5,2021-5-01,0
310930,Buritis,2021,7,2021-7-01,0
310930,Buritis,2021,10,2021-10-01,0
310930,Buritis,2021,11,2021-11-01,0
310930,Buritis,2021,12,2021-12-01,0
310960,Cachoeira da Prata,2021,1,2021-1-01,1
310960,Cachoeira da Prata,2021,2,2021-2-01,0
310960,Cachoeira da Prata,2021,3,2021-3-01,0
310960,Cachoeira da Prata,2021,4,2021-4-01,0
310960,Cachoeira da Prata,2021,5,2021-5-01,0
310960,Cachoeira da Prata,2021,7,2021-7-01,0
310960,Cachoeira da Prata,2021,10,2021-10-01,0
310960,Cachoeira da Prata,2021,11,2021-11-01,0
310960,Cachoeira da Prata,2021,12,2021-12-01,0
311070,Cambuquira,2021,1,2021-1-01,0
311070,Cambuquira,2021,2,2021-2-01,0
311070,Cambuquira,2021,3,2021-3-01,0
311070,Cambuquira,2021,4,2021-4-01,0
311070,Cambuquira,2021,5,2021-5-01,1
311070,Cambuquira,2021,7,2021-7-01,0
311070,Cambuquira,2021,10,2021-10-01,0
311070,Cambuquira,2021,11,2021-11-01,0
311070,Cambuquira,2021,12,2021-12-01,0
311140,Campo Florido,2021,1,2021-1-01,1
311140,Campo Florido,2021,2,2021-2-01,0
311140,Campo Florido,2021,3,2021-3-01,0
311140,Campo Florido,2021,4,2021-4-01,0
311140,Campo Florido,2021,5,2021-5-01,0
311140,Campo Florido,2021,7,2021-7-01,0
311140,Campo Florido,2021,10,2021-10-01,0
311140,Campo Florido,2021,11,2021-11-01,0
311140,Campo Florido,2021,12,2021-12-01,0
311200,Candeias,2021,1,2021-1-01,1
311200,Candeias,2021,2,2021-2-01,1
311200,Candeias,2021,3,2021-3-01,0
311200,Candeias,2021,4,2021-4-01,0
311200,Candeias,2021,5,2021-5-01,0
311200,Candeias,2021,7,2021-7-01,0
311200,Candeias,2021,10,2021-10-01,0
311200,Candeias,2021,11,2021-11-01,0
311200,Candeias,2021,12,2021-12-01,0
311230,Capelinha,2021,1,2021-1-01,0
311230,Capelinha,2021,2,2021-2-01,1
311230,Capelinha,2021,3,2021-3-01,1
311230,Capelinha,2021,4,2021-4-01,0
311230,Capelinha,2021,5,2021-5-01,0
311230,Capelinha,2021,7,2021-7-01,0
311230,Capelinha,2021,10,2021-10-01,0
311230,Capelinha,2021,11,2021-11-01,0
311230,Capelinha,2021,12,2021-12-01,0
311265,Capitão Andrade,2021,1,2021-1-01,0
311265,Capitão Andrade,2021,2,2021-2-01,0
311265,Capitão Andrade,2021,3,2021-3-01,0
311265,Capitão Andrade,2021,4,2021-4-01,1
311265,Capitão Andrade,2021,5,2021-5-01,0
311265,Capitão Andrade,2021,7,2021-7-01,0
311265,Capitão Andrade,2021,10,2021-10-01,0
311265,Capitão Andrade,2021,11,2021-11-01,0
311265,Capitão Andrade,2021,12,2021-12-01,0
311370,Carlos Chagas,2021,1,2021-1-01,2
311370,Carlos Chagas,2021,2,2021-2-01,1
311370,Carlos Chagas,2021,3,2021-3-01,2
311370,Carlos Chagas,2021,4,2021-4-01,2
311370,Carlos Chagas,2021,5,2021-5-01,0
311370,Carlos Chagas,2021,7,2021-7-01,0
311370,Carlos Chagas,2021,10,2021-10-01,0
311370,Carlos Chagas,2021,11,2021-11-01,0
311370,Carlos Chagas,2021,12,2021-12-01,1
311420,Carmo do Cajuru,2021,1,2021-1-01,0
311420,Carmo do Cajuru,2021,2,2021-2-01,0
311420,Carmo do Cajuru,2021,3,2021-3-01,0
311420,Carmo do Cajuru,2021,4,2021-4-01,1
311420,Carmo do Cajuru,2021,5,2021-5-01,0
311420,Carmo do Cajuru,2021,7,2021-7-01,0
311420,Carmo do Cajuru,2021,10,2021-10-01,0
311420,Carmo do Cajuru,2021,11,2021-11-01,0
311420,Carmo do Cajuru,2021,12,2021-12-01,0
311450,Carmópolis de Minas,2021,1,2021-1-01,0
311450,Carmópolis de Minas,2021,2,2021-2-01,0
311450,Carmópolis de Minas,2021,3,2021-3-01,0
311450,Carmópolis de Minas,2021,4,2021-4-01,0
311450,Carmópolis de Minas,2021,5,2021-5-01,0
311450,Carmópolis de Minas,2021,7,2021-7-01,0
311450,Carmópolis de Minas,2021,10,2021-10-01,0
311450,Carmópolis de Minas,2021,11,2021-11-01,0
